  Time                 , V(U3:OUT)            
  0.000000000000e+00  ,2.868914068652e-06  
  1.000000000000e-06  ,1.131026278952e-05  
  2.000000000000e-06  ,2.763933911102e-05  
  2.945186614990e-06  ,4.748848879239e-05  
  4.835559844971e-06  ,1.028431577462e-04  
  8.616306304932e-06  ,2.692501840190e-04  
  1.617779922485e-05  ,7.386001609759e-04  
  2.795453262329e-05  ,1.635110839040e-03  
  4.828839492798e-05  ,3.301391593361e-03  
  8.415265274048e-05  ,6.274085153533e-03  
  1.558811683655e-04  ,1.220303017961e-02  
  2.558811683655e-04  ,2.042686304258e-02  
  3.558811683655e-04  ,2.856922091679e-02  
  4.558811683655e-04  ,3.659946005511e-02  
  5.558811683655e-04  ,4.448482831388e-02  
  6.558811683655e-04  ,5.219496026021e-02  
  7.558811683655e-04  ,5.969889072698e-02  
  8.558811683655e-04  ,6.696738703578e-02  
  9.558811683655e-04  ,7.397149199007e-02  
  1.055881168365e-03  ,8.068375699425e-02  
  1.155881168365e-03  ,8.707755416181e-02  
  1.255881168365e-03  ,9.312774805211e-02  
  1.355881168365e-03  ,9.881039159464e-02  
  1.455881168365e-03  ,1.041031076338e-01  
  1.555881168365e-03  ,1.089849729105e-01  
  1.655881168365e-03  ,1.134367460491e-01  
  1.755881168365e-03  ,1.174408400485e-01  
  1.855881168365e-03  ,1.209814653336e-01  
  1.955881168365e-03  ,1.240446396088e-01  
  2.055881168365e-03  ,1.266182803500e-01  
  2.155881168365e-03  ,1.286922260048e-01  
  2.255881168365e-03  ,1.302582949418e-01  
  2.355881168365e-03  ,1.313103042054e-01  
  2.455881168365e-03  ,1.318441037308e-01  
  2.555881168365e-03  ,1.318575856403e-01  
  2.655881168365e-03  ,1.313506975631e-01  
  2.755881168365e-03  ,1.303254393649e-01  
  2.855881168365e-03  ,1.287858577123e-01  
  2.955881168365e-03  ,1.267380282863e-01  
  3.055881168365e-03  ,1.241900331962e-01  
  3.155881168365e-03  ,1.211519280407e-01  
  3.255881168365e-03  ,1.176357029428e-01  
  3.355881168365e-03  ,1.136552347419e-01  
  3.455881168365e-03  ,1.092262326098e-01  
  3.555881168365e-03  ,1.043661757409e-01  
  3.655881168365e-03  ,9.909424459363e-02  
  3.755881168365e-03  ,9.343124504118e-02  
  3.855881168365e-03  ,8.739952638427e-02  
  3.955881168365e-03  ,8.102289303579e-02  
  4.055881168365e-03  ,7.432651068897e-02  
  4.155881168365e-03  ,6.733680690827e-02  
  4.255881168365e-03  ,6.008136676238e-02  
  4.355881168365e-03  ,5.258882431780e-02  
  4.455881168365e-03  ,4.488874910186e-02  
  4.555881168365e-03  ,3.701152981083e-02  
  4.655881168365e-03  ,2.898825423736e-02  
  4.755881168365e-03  ,2.085058660862e-02  
  4.855881168365e-03  ,1.263064255597e-02  
  4.955881168365e-03  ,4.360862437320e-03  
  5.055881168365e-03  ,-3.926116662482e-03  
  5.155881168365e-03  ,-1.219758989052e-02  
  5.255881168365e-03  ,-2.042091344743e-02  
  5.355881168365e-03  ,-2.856363367267e-02  
  5.455881168365e-03  ,-3.659361497159e-02  
  5.555881168365e-03  ,-4.447916666746e-02  
  5.655881168365e-03  ,-5.218916807794e-02  
  5.755881168365e-03  ,-5.969319139964e-02  
  5.855881168365e-03  ,-6.696162159723e-02  
